img,adj1,adj2,adj1not,adj2not,feature1,feature2,num_objs1,num_objs2,position,obj1shape, obj1color,obj1pattern,obj2shape, obj2color,obj2pattern,obj3shape, obj3color,obj3pattern
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0039.jpg,dotted,square,striped,circle,pattern,shape,3,3,1,square,red,dotted,square,red,dotted,square,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0040.jpg,dotted,square,striped,circle,pattern,shape,3,3,1,square,red,dotted,square,red,dotted,square,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0041.jpg,striped,square,dotted,circle,pattern,shape,3,3,1,square,red,striped,square,red,striped,square,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0042.jpg,circle,striped,square,dotted,shape,pattern,3,3,1,circle,red,striped,circle,red,striped,circle,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0043.jpg,circle,striped,square,dotted,shape,pattern,3,3,2,circle,red,striped,circle,red,striped,circle,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0044.jpg,dotted,circle,striped,square,pattern,shape,3,3,2,circle,red,dotted,circle,red,dotted,circle,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0045.jpg,square,blue,circle,green,shape,color,3,3,1,square,blue,solid,square,blue,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0046.jpg,square,dotted,circle,striped,shape,pattern,3,3,3,square,red,dotted,square,red,dotted,square,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0047.jpg,circle,green,square,blue,shape,color,3,3,2,circle,green,solid,circle,green,solid,circle,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0048.jpg,blue,square,green,circle,color,shape,3,3,3,square,blue,solid,square,blue,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0049.jpg,dotted,green,striped,blue,pattern,color,3,3,3,cloud,green,dotted,cloud,green,dotted,cloud,green,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0050.jpg,square,blue,circle,green,shape,color,3,3,1,square,blue,solid,square,blue,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0001.jpg,green,square,blue,circle,color,shape,3,2,1,square,green,solid,square,green,solid,circle,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0002.jpg,blue,striped,green,dotted,color,pattern,3,2,3,cloud,blue,striped,cloud,blue,dotted,cloud,blue,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0003.jpg,green,striped,blue,dotted,color,pattern,3,2,3,cloud,green,striped,cloud,green,dotted,cloud,green,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0004.jpg,dotted,square,striped,circle,pattern,shape,3,2,2,circle,red,dotted,square,red,dotted,square,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0005.jpg,striped,square,dotted,circle,pattern,shape,3,2,3,circle,red,striped,square,red,striped,square,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0006.jpg,striped,green,dotted,blue,pattern,color,3,2,2,cloud,green,striped,cloud,green,striped,cloud,blue,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0007.jpg,striped,green,dotted,blue,pattern,color,3,2,2,cloud,blue,striped,cloud,green,striped,cloud,green,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0008.jpg,blue,circle,green,square,color,shape,3,2,3,circle,blue,solid,square,blue,solid,circle,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0009.jpg,blue,square,green,circle,color,shape,3,2,2,circle,blue,solid,square,blue,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0010.jpg,blue,circle,green,square,color,shape,3,2,3,circle,blue,solid,square,blue,solid,circle,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0011.jpg,blue,dotted,green,striped,color,pattern,3,2,1,cloud,blue,dotted,cloud,blue,dotted,cloud,blue,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0012.jpg,circle,blue,square,green,shape,color,3,2,1,circle,blue,solid,circle,blue,solid,circle,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0013.jpg,blue,square,green,circle,color,shape,3,2,3,square,blue,solid,circle,blue,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0014.jpg,striped,square,dotted,circle,pattern,shape,3,2,1,square,red,striped,circle,red,striped,square,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0015.jpg,blue,square,green,circle,color,shape,3,2,1,square,blue,solid,square,blue,solid,circle,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0016.jpg,blue,striped,green,dotted,color,pattern,3,2,2,cloud,blue,striped,cloud,blue,striped,cloud,blue,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0017.jpg,circle,dotted,square,striped,shape,pattern,3,2,3,circle,red,dotted,circle,red,striped,circle,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0018.jpg,striped,square,dotted,circle,pattern,shape,3,2,3,circle,red,striped,square,red,striped,square,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond2-img0019.jpg,square,striped,circle,dotted,shape,pattern,3,2,3,square,red,dotted,square,red,striped,square,red,striped
